Date,Financials,Consumer Staples,Materials,Energy,Industrials,Health Care,Communication Services,Utilities,Consumer Discretionary,Information Technology,Real Estate
2009-12-31,0.22052589288984434,0.11037003633518197,0.10598350728950764,0.103080889036901,0.09895699144596648,0.0943743366597307,0.08011813755514652,0.0800096710521164,0.06739362805821891,0.02622029524230667,0.012966614435079259
2010-01-31,0.21609619830583116,0.11426246625390367,0.10216357367024045,0.10261691199499273,0.10100287147047837,0.0972836127675658,0.07876465239095232,0.07788461525732673,0.06897507588676005,0.027876948682127155,0.013073073319821533
2010-02-28,0.2180569056085283,0.1162449282354649,0.10475264809244067,0.10158944869919667,0.10164489226627253,0.09836607633759932,0.07884176036503535,0.07652666748000835,0.06341697922422283,0.02762725974852117,0.012932433942709895
2010-03-31,0.21933764101986802,0.11170611879593005,0.108734641836845,0.10043168542046546,0.10285616301618027,0.0928597981384581,0.07773968937596717,0.07416078582243875,0.07070051055124445,0.02870273061665729,0.012770235405945476
2010-04-30,0.21591271547048296,0.1128788647842408,0.10662737379808314,0.10137902250422638,0.10600838933323911,0.0921940622902316,0.07702801078376009,0.07277281483701677,0.0741044704229109,0.028260034152477978,0.012834241623330139
2010-05-31,0.2095448891046766,0.1189520351298264,0.10584905745344925,0.09906612062586036,0.10665167797128484,0.09520855743853916,0.07729568835484352,0.07126329346466564,0.0753620588926394,0.028531074182362316,0.012275547381852457
2010-06-30,0.20930778498100358,0.12193738695641766,0.1041169549575734,0.09193212612523939,0.1083554898514944,0.0991587082887474,0.07838277497031755,0.06807085943761314,0.07762622132953535,0.028632164431127562,0.012479528670930542
2010-07-31,0.22536278192906062,0.11582311433992629,0.10402302826228892,0.09264671939501556,0.10735171331207032,0.08919550216537582,0.08012153976628217,0.06830717443184695,0.0769873388229667,0.027278238255877447,0.012902849319288982
2010-08-31,0.21746662699664657,0.1197554828955214,0.10178726882203969,0.09201703201164352,0.10555716222112921,0.09544471962356442,0.08294440656560571,0.06845766154279141,0.0775979111308333,0.026090955724822052,0.012880772465402682
2010-09-30,0.2133068608047658,0.11748403107205128,0.10490370439757976,0.09194330021081402,0.1091205618098539,0.0920222927455588,0.0798440008554788,0.06622904250352929,0.08482795312246406,0.027181153923310615,0.013137098554593675
2010-10-31,0.20998376177972294,0.11597827582433302,0.10624616568093291,0.09278101187554383,0.10893272839105365,0.09032277025548092,0.08230389106875703,0.06799921817600077,0.08549184036819142,0.02720544472936877,0.01275489185061473
2010-11-30,0.19692568043843545,0.11825352132478864,0.1127281563784879,0.09339699693877593,0.11271903902731215,0.09166591634052708,0.07907252618148884,0.0647567644231589,0.0912580432399475,0.02719682122055506,0.01202653448652259
2010-12-31,0.19579573754639185,0.11570200889184831,0.11752877527523914,0.09638489310546075,0.11445085836802725,0.0896691475926972,0.07662147451599007,0.0638399412305907,0.0897276999715274,0.027846557080603625,0.012432906421623912
2011-01-31,0.20963575763540082,0.10880508175245909,0.11041840774333143,0.0995110800425533,0.11494950030044872,0.08563833423253972,0.07807642201325316,0.06615937874389165,0.08534368119591038,0.029251408985466604,0.012210947354745125
2011-02-28,0.21059084682971577,0.10838575140788932,0.11083252424940156,0.10027820024990507,0.11371495178541706,0.08709617248038429,0.07755928462320952,0.0656740729217722,0.08423291180549554,0.02899011286463297,0.012645170782176777
2011-03-31,0.2017085925752681,0.10934071450280214,0.11208265080325089,0.10100776471279614,0.11613505644255726,0.08596720416865838,0.08005000392405635,0.06756894206671121,0.0840117369272098,0.02913423996790608,0.012993093908783523
2011-04-30,0.20119956577916984,0.11043289782522327,0.1114639857849918,0.0991858547601129,0.11655740214882974,0.08834502660887535,0.07712145904101422,0.0669443201989277,0.08676514714929998,0.028992443101593834,0.01299189760196146
2011-05-31,0.20033504085337586,0.11532257656640521,0.10915545753179376,0.09627418130030191,0.11577668547254519,0.09346125618738076,0.0753365279580785,0.06516894121826737,0.08766579140210404,0.028207684567335883,0.013295856942411519
2011-06-30,0.19618284250259915,0.1135907069103174,0.11067534160229427,0.09642597378658382,0.116363238332375,0.09289865480923444,0.07555410441078546,0.06502316493279811,0.09180424111250629,0.02787303353582086,0.01360869806468514
