Date,Financials,Consumer Staples,Materials,Energy,Industrials,Health Care,Communication Services,Utilities,Consumer Discretionary,Information Technology,Real Estate
12/31/09,0.220525893,0.110370036,0.105983507,0.103080889,0.098956991,0.094374337,0.080118138,0.080009671,0.067393628,0.026220295,0.012966614
1/31/10,0.216096198,0.114262466,0.102163574,0.102616912,0.101002871,0.097283613,0.078764652,0.077884615,0.068975076,0.027876949,0.013073073
2/28/10,0.218056906,0.116244928,0.104752648,0.101589449,0.101644892,0.098366076,0.07884176,0.076526667,0.063416979,0.02762726,0.012932434
3/31/10,0.219337641,0.111706119,0.108734642,0.100431685,0.102856163,0.092859798,0.077739689,0.074160786,0.070700511,0.028702731,0.012770235
4/30/10,0.215912715,0.112878865,0.106627374,0.101379023,0.106008389,0.092194062,0.077028011,0.072772815,0.07410447,0.028260034,0.012834242
5/31/10,0.209544889,0.118952035,0.105849057,0.099066121,0.106651678,0.095208557,0.077295688,0.071263293,0.075362059,0.028531074,0.012275547
6/30/10,0.209307785,0.121937387,0.104116955,0.091932126,0.10835549,0.099158708,0.078382775,0.068070859,0.077626221,0.028632164,0.012479529
7/31/10,0.225362782,0.115823114,0.104023028,0.092646719,0.107351713,0.089195502,0.08012154,0.068307174,0.076987339,0.027278238,0.012902849
8/31/10,0.217466627,0.119755483,0.101787269,0.092017032,0.105557162,0.09544472,0.082944407,0.068457662,0.077597911,0.026090956,0.012880772
9/30/10,0.213306861,0.117484031,0.104903704,0.0919433,0.109120562,0.092022293,0.079844001,0.066229043,0.084827953,0.027181154,0.013137099
10/31/10,0.209983762,0.115978276,0.106246166,0.092781012,0.108932728,0.09032277,0.082303891,0.067999218,0.08549184,0.027205445,0.012754892
11/30/10,0.19692568,0.118253521,0.112728156,0.093396997,0.112719039,0.091665916,0.079072526,0.064756764,0.091258043,0.027196821,0.012026534
12/31/10,0.195795738,0.115702009,0.117528775,0.096384893,0.114450858,0.089669148,0.076621475,0.063839941,0.0897277,0.027846557,0.012432906
1/31/11,0.209635758,0.108805082,0.110418408,0.09951108,0.1149495,0.085638334,0.078076422,0.066159379,0.085343681,0.029251409,0.012210947
2/28/11,0.210590847,0.108385751,0.110832524,0.1002782,0.113714952,0.087096172,0.077559285,0.065674073,0.084232912,0.028990113,0.012645171
3/31/11,0.201708593,0.109340715,0.112082651,0.101007765,0.116135056,0.085967204,0.080050004,0.067568942,0.084011737,0.02913424,0.012993094
4/30/11,0.201199566,0.110432898,0.111463986,0.099185855,0.116557402,0.088345027,0.077121459,0.06694432,0.086765147,0.028992443,0.012991898
5/31/11,0.200335041,0.115322577,0.109155458,0.096274181,0.115776685,0.093461256,0.075336528,0.065168941,0.087665791,0.028207685,0.013295857
6/30/11,0.196182843,0.113590707,0.110675342,0.096425974,0.116363238,0.092898655,0.075554104,0.065023165,0.091804241,0.027873034,0.013608698
7/31/11,0.19077557,0.116999815,0.109644947,0.098281435,0.112396005,0.097563836,0.076359338,0.063320156,0.093991558,0.026983541,0.013683799
8/31/11,0.179353588,0.124957371,0.107981252,0.099479178,0.112097411,0.101016474,0.078585813,0.062664272,0.092130251,0.027663106,0.014071283
9/30/11,0.177065419,0.130620011,0.097636252,0.101071526,0.109192732,0.105617547,0.081676293,0.066420802,0.089130133,0.027988095,0.01358119
10/31/11,0.175940187,0.127092453,0.102368276,0.106489648,0.110307052,0.100432483,0.079567932,0.062138452,0.093670902,0.028585723,0.013406892
11/30/11,0.16623309,0.132376596,0.101413627,0.109696283,0.110344651,0.103485895,0.080275137,0.061924877,0.092615014,0.028545818,0.013089011
12/31/11,0.164810688,0.134265123,0.103977488,0.111915279,0.109217106,0.107969172,0.08029884,0.059185452,0.088061321,0.02738599,0.012913542
1/31/12,0.17428974,0.126365132,0.110108362,0.107547581,0.112231177,0.102808688,0.075665874,0.05580897,0.09445442,0.027684082,0.013035976
