,Beta
Technology,-0.00030497844946066185
Telecommunications,0.0002397711625117283
Health Care,0.0006440263439927762
Financials,0.000763128460564683
Real Estate,0.0008802267574781597
Consumer Discretionary,-0.0006883829231464311
Consumer Staples,0.0003595130745840062
Industrials,0.0005834186095140662
Basic Materials,0.0010293618438136844
Energy,0.0019500721249963236
Utilities,0.0007410630202663687
