,Beta
Technology,0.0002337640918596962
Telecommunications,0.0008832693934280166
Health Care,0.0002934319632787873
Financials,-0.00019992096653160667
Real Estate,-0.0007999475509059995
Consumer Discretionary,-0.0006271852018754487
Consumer Staples,0.00018547198844866817
Industrials,-0.0001310590035367965
Basic Materials,3.588144894604533e-05
Energy,0.0004999779368535003
Utilities,0.0002485715999190584
