Date,GRZEEUEX index
2/28/2023,29.7
3/31/2023,10
4/30/2023,6.4
5/31/2023,-9.4
6/30/2023,-10
7/31/2023,-12.2
8/31/2023,-5.5
9/30/2023,-8.9
10/31/2023,2.3
11/30/2023,13.8
12/31/2023,23
1/31/2024,22.7
2/29/2024,25
3/31/2024,33.5
4/30/2024,43.9
5/31/2024,47
6/30/2024,51.3
7/31/2024,43.7
8/31/2024,17.9
9/30/2024,9.3
10/31/2024,20.1
11/30/2024,12.5
12/31/2024,17
1/31/2025,18
2/28/2025,24.2
