ticker,gics_sector_name
SYDB DC Equity,Financials
SYENS BB Equity,Materials
SYNN SE Equity,Materials
SYST SE Equity,
SZG GY Equity,Materials
SZU GY Equity,Consumer Staples
TALK LN Equity,Communication Services
TATE LN Equity,Consumer Staples
TCAP LN Equity,Financials
TCG LN Equity,Consumer Discretionary
TCH FP Equity,Communication Services
TCHNR FP Equity,Information Technology
TE FP Equity,Energy
TECN SE Equity,Health Care
TEF SM Equity,Communication Services
TEG GY Equity,Real Estate
TEL NO Equity,Communication Services
TEL2B SS Equity,Communication Services
TELIA SS Equity,Communication Services
TELL GA Equity,Financials
TEMN SE Equity,Information Technology
TEN IM Equity,Energy
TEP FP Equity,Industrials
TFI FP Equity,Communication Services
TGM GY Equity,Industrials
TGS NO Equity,Energy
THG LN Equity,Consumer Discretionary
THULE SS Equity,Consumer Discretionary
TIETO FH Equity,Information Technology
TIGO SS Equity,Communication Services
TIS IM Equity,Communication Services
TIT IM Equity,Communication Services
TITK GA Equity,Materials
TKA AV Equity,Communication Services
TKA GY Equity,Materials
TKWY NA Equity,Consumer Discretionary
TL5 SM Equity,Communication Services
TLW LN Equity,Energy
TLX GY Equity,Financials
TMV GY Equity,Information Technology
TNET BB Equity,Communication Services
TOD IM Equity,Consumer Discretionary
TOM NO Equity,Industrials
TOM2 NA Equity,Information Technology
TOP DC Equity,Financials
TPEIR GA Equity,Financials
TPK LN Equity,Industrials
TRE SM Equity,Energy
TRELB SS Equity,Industrials
TRN IM Equity,Utilities
TRN LN Equity,Consumer Discretionary
TRYG DC Equity,Financials
TSCO LN Equity,Consumer Staples
TTE FP Equity,Energy
TUI LN Equity,Consumer Discretionary
TUI1 GY Equity,Consumer Discretionary
TW/ LN Equity,Consumer Discretionary
TYRES FH Equity,Consumer Discretionary
UBI FP Equity,Communication Services
UBI IM Equity,Financials
UBSG SE Equity,Financials
UBSN SE Equity,Financials
UCB BB Equity,Health Care
UCG IM Equity,Financials
UDG LN Equity,Health Care
UG FP Equity,Consumer Discretionary
UHR SE Equity,Consumer Discretionary
ULE LN Equity,Industrials
ULVR LN Equity,Consumer Staples
UMG NA Equity,Communication Services
UMI BB Equity,Materials
UN01 GY Equity,Utilities
UNAT NA Equity,Consumer Staples
UNI IM Equity,Financials
UPM FH Equity,Materials
URW FP Equity,Real Estate
US IM Equity,Financials
UTDI GY Equity,Communication Services
UTG LN Equity,Real Estate
UU/ LN Equity,Utilities
VACN SE Equity,Industrials
VALMT FH Equity,Industrials
VALN SE Equity,Consumer Discretionary
VAR NO Equity,Energy
VAR1 GY Equity,Industrials
VATN SE Equity,Financials
VCT LN Equity,Materials
VER AV Equity,Utilities
VID SM Equity,Materials
VIE FP Equity,Utilities
VIFN SE Equity,Health Care
VIG AV Equity,Financials
VIS SM Equity,Consumer Staples
VITR SS Equity,Health Care
VIV FP Equity,Communication Services
VK FP Equity,Energy
VMUK LN Equity,Financials
VNA GY Equity,Real Estate
VOD LN Equity,Communication Services
VOE AV Equity,Materials
VOLCARB SS Equity,Consumer Discretionary
VOLVB SS Equity,Industrials
VOW GY Equity,Consumer Discretionary
VOW3 GY Equity,Consumer Discretionary
VPBN SE Equity,Financials
VPK NA Equity,Energy
VPLAYB SS Equity,Communication Services
VRLA FP Equity,Materials
VSVS LN Equity,Industrials
VTWR GY Equity,Communication Services
VTY LN Equity,Consumer Discretionary
VWS DC Equity,Industrials
WAD3 GY Equity,
WAF GY Equity,Information Technology
WALLB SS Equity,Real Estate
WCH GY Equity,Materials
WCMK GY Equity,Real Estate
WDI GY Equity,Information Technology
WDP BB Equity,Real Estate
WEIR LN Equity,Industrials
WG/ LN Equity,Energy
WHA NA Equity,Real Estate
WIE AV Equity,Materials
WIHL SS Equity,Real Estate
WIN GY Equity,Information Technology
WISE LN Equity,Financials
WIZZ LN Equity,Industrials
WKL NA Equity,Industrials
WLN FP Equity,Financials
WMH LN Equity,Consumer Discretionary
WOSG LN Equity,Consumer Discretionary
WPP LN Equity,Communication Services
WRT1V FH Equity,Industrials
WTB LN Equity,Consumer Discretionary
YAR NO Equity,Materials
YIT FH Equity,Consumer Discretionary
ZAL GY Equity,Consumer Discretionary
ZEAL DC Equity,Health Care
ZOT SM Equity,Industrials
ZURN SE Equity,Financials
