date,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
31/12/2019,1.088723303,0.731897693,0.977135111,0.132349115,0.977867081,0.531492427,0.6998991,0.330790985,0.850298799,0.591525821,1.047619213
31/12/2020,1.055636308,0.443673796,0.475397756,0.256261722,0.691192828,0.049219362,0.480720758,0.078432812,0.439296842,0.640362084,0.657299483
31/12/2021,1.097828191,0.411721201,0.771187185,0.284441762,0.78596977,0.299707288,0.460008559,0.169846915,0.495843357,0.711369227,0.977858094
31/12/2022,1.196427694,0.444371041,0.868981087,0.288407212,0.783808458,0.303575199,0.427840992,0.208770515,0.500172752,0.597116372,0.693219533
31/12/2023,1.190373719,0.458728087,0.882341577,0.307973454,0.708190394,0.350329984,0.479640463,0.219435858,0.427109874,0.290536436,0.705415416
